0.100,3.750,0.895,0.310,0.579,0.269,0.589,
0.580,5.650,0.896,2.320,0.803,2.249,0.806,
1.060,8.220,0.909,5.040,0.868,4.943,0.874,
1.540,11.880,0.912,8.840,0.892,8.715,0.897,
2.020,17.360,0.919,14.490,0.906,14.404,0.909,
2.500,24.590,0.931,21.820,0.923,21.896,0.925,
