, , training loss, validation accuracy, validation loss,Epoch,Unnamed: 5,Unnamed: 6
2, ,2.302425,0.136000,2.301529,1,,
5, ,2.301399,0.113000,2.300506,2,,
8, ,2.300475,0.173000,2.299574,3,,
11, ,2.299741,0.126000,2.298677,4,,
14, ,2.299024,0.119000,2.297958,5,,
17, ,2.298470,0.119000,2.297271,6,,
20, ,2.297975,0.119000,2.296726,7,,
23, ,2.297531,0.119000,2.296286,8,,
26, ,2.297119,0.119000,2.295801,9,,
29, ,2.296749,0.119000,2.295417,10,,
32, ,2.296420,0.119000,2.295000,11,,
35, ,2.296062,0.119000,2.294657,12,,
38, ,2.295758,0.119000,2.294330,13,,
41, ,2.295436,0.119000,2.294036,14,,
44, ,2.295081,0.119000,2.293783,15,,
47, ,2.294699,0.119000,2.293364,16,,
50, ,2.294278,0.119000,2.292993,17,,
53, ,2.293909,0.119000,2.292627,18,,
56, ,2.293475,0.119000,2.292257,19,,
59, ,2.293019,0.119000,2.291771,20,,
62, ,2.292545,0.119000,2.291322,21,,
65, ,2.291987,0.119000,2.290795,22,,
68, ,2.291433,0.119000,2.290377,23,,
71, ,2.290898,0.119000,2.289764,24,,
74, ,2.290255,0.119000,2.289269,25,,
77, ,2.289600,0.119000,2.288674,26,,
80, ,2.288792,0.119000,2.288023,27,,
83, ,2.287964,0.119000,2.287239,28,,
86, ,2.287167,0.120000,2.286494,29,,
89, ,2.286133,0.125000,2.285564,30,,
92, ,2.285029,0.123000,2.284457,31,,
95, ,2.283867,0.132000,2.283404,32,,
98, ,2.282695,0.123000,2.282154,33,,
101, ,2.281113,0.148000,2.280842,34,,
104, ,2.279411,0.152000,2.279310,35,,
107, ,2.277662,0.157000,2.277573,36,,
110, ,2.275542,0.170000,2.275630,37,,
113, ,2.273241,0.198000,2.273509,38,,
116, ,2.270577,0.180000,2.270813,39,,
119, ,2.267368,0.191000,2.267879,40,,
122, ,2.263752,0.218000,2.264530,41,,
125, ,2.259715,0.219000,2.260411,42,,
128, ,2.254727,0.242000,2.255553,43,,
131, ,2.248772,0.243000,2.249746,44,,
134, ,2.241562,0.255000,2.242872,45,,
137, ,2.232802,0.264000,2.234005,46,,
140, ,2.221951,0.267000,2.223204,47,,
143, ,2.208153,0.275000,2.208888,48,,
146, ,2.190091,0.307000,2.190489,49,,
149, ,2.166938,0.323000,2.165745,50,,
152, ,2.135676,0.331000,2.133219,51,,
155, ,2.091015,0.335000,2.089667,52,,
