, , training loss, validation accuracy, validation loss,Epoch,Unnamed: 5,Unnamed: 6
1, ,2.302522,0.121000,2.300845,1,,
4, ,2.299129,0.214000,2.296329,2,,
7, ,2.294530,0.270000,2.290887,3,,
10, ,2.288639,0.297000,2.283348,4,,
13, ,2.279835,0.302000,2.271862,5,,
16, ,2.265421,0.314000,2.252231,6,,
19, ,2.238841,0.335000,2.213892,7,,
22, ,2.182126,0.422000,2.121486,8,,
25, ,2.023285,0.561000,1.821186,9,,
28, ,1.497572,0.729000,1.037204,10,,
31, ,2.124666,0.535000,1.823507,11,,
34, ,1.663944,0.622000,1.293294,12,,
37, ,0.994940,0.762000,0.728326,13,,
40, ,0.586814,0.821000,0.523855,14,,
43, ,0.428753,0.881000,0.405482,15,,
46, ,0.357579,0.896000,0.349582,16,,
49, ,0.288479,0.902000,0.311422,17,,
52, ,0.248265,0.907000,0.297812,18,,
55, ,0.218007,0.923000,0.268325,19,,
58, ,0.194675,0.925000,0.255603,20,,
61, ,0.174430,0.925000,0.258041,21,,
64, ,0.160801,0.929000,0.246843,22,,
67, ,0.147904,0.934000,0.233529,23,,
70, ,0.135410,0.936000,0.229048,24,,
73, ,0.125706,0.938000,0.226801,25,,
76, ,0.121708,0.934000,0.224183,26,,
79, ,0.112124,0.941000,0.203387,27,,
82, ,0.100130,0.942000,0.214877,28,,
85, ,0.096454,0.948000,0.214528,29,,
88, ,0.088317,0.943000,0.199658,30,,
91, ,0.080032,0.947000,0.198945,31,,
94, ,0.074018,0.944000,0.203921,32,,
97, ,0.074538,0.946000,0.194212,33,,
100, ,0.066256,0.944000,0.189963,34,,
103, ,0.058819,0.946000,0.198400,35,,
106, ,0.054925,0.944000,0.195401,36,,
109, ,0.051179,0.945000,0.207194,37,,
112, ,0.049984,0.953000,0.188699,38,,
115, ,0.043211,0.949000,0.187192,39,,
118, ,0.040368,0.949000,0.189968,40,,
121, ,0.039958,0.952000,0.181190,41,,
124, ,0.033922,0.952000,0.186127,42,,
127, ,0.031978,0.954000,0.184020,43,,
130, ,0.029228,0.953000,0.194932,44,,
133, ,0.026553,0.952000,0.205560,45,,
136, ,0.024806,0.953000,0.192558,46,,
139, ,0.021666,0.952000,0.198202,47,,
142, ,0.020869,0.954000,0.200079,48,,
145, ,0.018499,0.956000,0.202735,49,,
148, ,0.017804,0.957000,0.202293,50,,
151, ,0.015364,0.955000,0.194044,51,,
